title,sys_update,description
Scoot Increases Okinawa Flights in NW26,2026-08-21 15:00:01,"Published at 2300PDT 20AUG26 / 0600GMT 21AUG26Scoot during Northern winter 2026/27 season schedules service increase on Singapore – Okinawa route, where the carrier adds 5th weekly flight from 31OCT26. Airbus A321neo operates this route.TR834 SIN0110 – 0800OKA 32Q 36TR834 SIN0150 – 0800OKA 32Q 147TR835 OKA0915 – 1350SIN 32Q x25"
Lufthansa Adjusts Planned Munich – Rovaniemi Service in NW26,2026-08-21 16:00:01,"Published at 0000PDT / 0700GMT 21AUG26Lufthansa in recent weeks filed service changes to its planned new Munich – Rovaniemi route. Planned service launch is now scheduled on 06DEC26 instead of 12NOV26, while 1 of 2 weekly flights will be operated by Lufthansa City.VL2466/LH4070 MUC1255 – 1710RVN 32N 4LH2466 MUC1340 – 1755RVN 320 7VL2467/LH4071 RVN1805 – 2020MUC 32N 4LH2467 MUC1855 – 2110MUC 320 7The airline previously scheduled 2 weekly flights from 12NOV26, 3 weekly from 04DEC26."
Ethiopian Dec 2026/Jan 2027 Atlanta Service Changes,2026-08-21 17:00:02,"Published at 0100PDT / 0800GMT 21AUG26Ethiopian Airlines in recent schedule update revised planned peak season frequency on Addis Ababa – Atlanta route (Westbound via Rome Fiumicino). During the period of 19DEC26 – 14JAN27, the Star Alliance member will maintain 3 weekly flight, as planned increase to 4 weekly has been cancelled.ET518 ADD2200 – 0235+1FCO0335+1 – 0800+1ATL 787 247ET519 ATL0935 – 0750+1ADD 788 135"
Update: SalamAir 2H26 Muscat – Medan Operations,2026-08-24 09:39:04,"Published at 0400PDT / 1100GMT 23AUG26AeroRoutes on 21AUG26 published the update regarding SalamAir’s Muscat – Medan Kualanamu service, based on available flights for reservations listed on the airline website. Since then, AeroRoutes has been advised by the officials from Medan Kualanamu International Airport regarding this matter.For the period of 15SEP26 – 25SEP26, bookings are shown as “full” for Muscat departure due to high demand. Departures from Medan during this period are showing some flights are available for reservations.For flights on/after 27OCT26, the airport has advised due to regulatory approval issues, reservations are not available, however it does expect reservations for the 3 weekly flights to be available in the near future.OV901 MCT1735 – 0305+1KNO 32Q 2OV901 MCT1745 – 0315+1KNO 32Q 57OV902 KNO0400 – 0725MCT 32Q 3OV902 KNO0405 – 0730MCT 32Q 16This update supersedes the post published on 21AUG26, which the original post has been removed."
Air China Sep/Oct 2026 Beijing – Vancouver Service Increases,2026-08-24 09:39:04,"Published at 1600PDT / 2300GMT 22AUG26Star Alliance member Air China from late-September 2026 schedules service increase on Beijing Capital – Vancouver route, as the carrier plans to increase from 3 to 5 weekly from 27SEP26, on board Boeing 777-300ER.Planned frequency increase is currently in effect until 24OCT26.CA991 PEK1350 – 1000YVR 773 47CA991 PEK1355 – 1000YVR 773 5CA991 PEK1400 – 1000YVR 773 13CA992 YVR1300 – 1700+1PEK 773 5CA992 YVR1300 – 1705+1PEK 773 47CA992 YVR1300 – 1715+1PEK 773 13"
Virgin Australia NW26 Perth – Alice Springs Charters,2026-08-24 09:39:04,"Published at 2000PDT 21AUG26 / 0300GMT 22AUG26Virgin Australia during Northern winter 2026/27 season plans to operate charter service on Perth – Alice Springs route, on board Boeing 737-700 aircraft. The weekly charter flight is scheduled from 30OCT26 to 29JAN27 on Fridays.VA9491 PER0545 – 1010ASP 73W 5VA9492 ASP1050 – 1250PER 73W 5"
Air Arabia Adds Sharjah – Katowice From Dec 2026,2026-08-24 09:39:04,"Published at 1900PDT 21AUG26 / 0200GMT 22AUG26Air Arabia during Northern winter 2026/27 season schedules new route launch to Poland, where the airline plans Sharjah – Katowice route. The carrier to serve this route with Airbus A320ceo/320neo from 17DEC26, 5 times weekly.G9689 SHJ0800 – 1120KTW 32N 15G9769 SHJ1755 – 2115KTW 320 4G9769 SHJ1755 – 2115KTW 32N 6G9690 KTW1210 – 2055SHJ 32N 15G9770 KTW2205 – 0650+1SHJ 320 4G9770 KTW2205 – 0650+1SHJ 32N 6"
easyJet Discontinues Leeds/Bradford Service in early-Jan 2027,2026-08-24 09:39:04,"Published at 1800PDT 21AUG26 / 0100GMT 22AUG26easyJet in early-January 2027 plans to discontinue service at Leeds/Bradford, as the carrier gradually ends its remaining 3 routes. Affected routes include the following.Leeds/Bradford – Barcelona 2 weekly A319 until 04NOV26Leeds/Bradford – Dublin 4 weekly A319/320 until 04JAN27Leeds/Bradford – Paris Charles de Gaulle 2 weekly A319/320 until 01JAN27The airline in the last few weeks already removed seasonal Leeds/Bradford – Geneva route, previously scheduled once a week for the period of 23JAN27 – 13FEB27."
Wizz Air Expands Brasov Network in NW26,2026-08-24 09:39:04,"Published at 1701PDT 21AUG26 / 0001GMT 22AUG26Wizz Air during Northern winter 2026/27 season plans to launch 5 routes from Brasov, announced earlier this month. Planned network additions include the following.Brasov – Barcelona eff 18DEC26 2 weekly A321neoBrasov – Chisinau eff 17DEC26 3 weekly A321neoBrasov – Karlsruhe/Baden-Baden eff 18DEC26 2 weekly A321neoBrasov – Madrid eff 20DEC26 2 weekly A321neoBrasov – Nuremberg eff 26OCT26 2 weekly A321neoServices are operated by Wizz Air Malta under W4-coded flight numbers."
JTA Doubles Okinawa – Taipei Flights From Sep 2026,2026-08-24 09:39:04,"Published at 1600PDT / 2300GMT 21AUG26Japan TransOcean Air (JTA) this week announced service expansion on Okinawa – Taipei Taoyuan route, with the launch of 2nd daily flight from 24SEP26, on board Boeing 737-800.Initially, the 2nd daily flight will operate during following dates in September and October 2026, then becoming daily operation from 24OCT26:September 2026: 24, 25, 27, 28October 2026: 09, 11, 12Schedule below focuses on 01DEC26 – 31JAN27.NU301 OKA0830 – 0915TPE 73H DNU307 OKA1755 – 1840TPE 73H DNU302 TPE1015 – 1245OKA 73H DNU308 TPE1940 – 2210OKA 73H D"
